"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2490.5847701314/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xb760c58b6cc05f7afd426a5158e002dc277fa06f0309c1ff448cafc5b7b734cb","20430177","1722472859","2024-08-01 00:40:59","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000120901139877","0.301114537669182","3200.67","","","Transfer"
"0x91bbb868d2e86a698982010263d30c49c17d295e3c4bc932e5b81a6d5021440a","20430352","1722474971","2024-08-01 01:16:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000118178359824","0.294333223136763","3200.67","","","Transfer"
"0x92372d5b9bb2e07f9ec3fd08b624309408e775c3fe7ca3386f82afe822656318","20430482","1722476531","2024-08-01 01:42:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000115861950435","0.28856400919113","3200.67","","","Transfer"
"0x9137bc37667c3e493201335af9b7bfc36753f40a289f5a29a7b36aec8892e544","20430728","1722479495","2024-08-01 02:31:35","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000141660891771","0.352818459568085","3200.67","","","Transfer"
"0xbc82b2ebd8a931249781e14578210e1e9940a0187d60e4ee0051a43dd9530465","20430947","1722482147","2024-08-01 03:15:47","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000139056705396","0.346332512643927","3200.67","","","Transfer"
"0x156c48e395d8e651eecea983fa7c657f53af1f36772a2e9b13bbd9a69e8aa28d","20431139","1722484451","2024-08-01 03:54:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000138052267563","0.343830875074513","3200.67","","","Transfer"
"0x71d09913bcfe828b892da1db1d371394386be8d57a2f996f5e86b8e149f51ab6","20431338","1722486851","2024-08-01 04:34:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000116097347205","0.28915028480143","3200.67","","","Transfer"
"0x2e7772267a2c2a8727b9cad563a1b06098c65cafcd09f5b915c30b5a66764ce9","20431582","1722489803","2024-08-01 05:23:23","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000111326789784","0.27726880714365","3200.67","","","Transfer"
"0x966ea67a512e029d8472027b23924b786df27576a1a07ad7edcf266bf8faceb1","20431743","1722491747","2024-08-01 05:55:47","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000103406333919","0.257542240393783","3200.67","","","Transfer"
"0xe41042e932f021744b3e85a4de7730da96d39e2b23cd3964962af1bfee5c0526","20431960","1722494351","2024-08-01 06:39:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000114320197845","0.284724143671165","3200.67","","","Transfer"
"0x5077ddfcf54632bc66d438048de09f157b56d46d28776596b9fb506a77adbe1b","20432114","1722496199","2024-08-01 07:09:59","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000125635192368","0.31290509670427","3200.67","","","Transfer"
"0x7c45df20d266b668ccdf1cf9c7faa5fb5b89b2c5e5a5797b7d4d2538e401b5d4","20432232","1722497615","2024-08-01 07:33:35","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000134080012647","0.333937637477644","3200.67","","","Transfer"
"0x87d93d67a01b2525dcd99dd44c1451aff8e2f50f61ce16a40888a756eaa7f52e","20432381","1722499403","2024-08-01 08:03:23","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000128513182539","0.32007297519275","3200.67","","","Transfer"
"0x238c7cf7ea0152ef337a85417e3fc5cd76f31b3207d778cb277a58435a5241e3","20432536","1722501275","2024-08-01 08:34:35","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000141998966592","0.353660463568433","3200.67","","","Transfer"
"0x2a8c9247f91a7a2734b77f0e8cd22647dd0fa10fe203ce16657da931ada00ef8","20432691","1722503147","2024-08-01 09:05:47","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000182363138223","0.454190854691571","3200.67","","","Transfer"
"0x77b8d90efe7f3610157645fefaed0c892a391a961255d091e3efb9d451fd4380","20432842","1722504971","2024-08-01 09:36:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000156536630922","0.389867748942013","3200.67","","","Transfer"
"0x7879e6e020877634ad2497168abc4a651546c95af718afbe2f63175726a8d7bf","20432979","1722506627","2024-08-01 10:03:47","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000121952858664","0.303733932462546","3200.67","","","Transfer"
"0x7fd80f359e384016dc55dbeeaaa6b65206a24929d94b3b53a1d7bfcfca1fda62","20433124","1722508379","2024-08-01 10:32:59","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000123866267805","0.30849944012815","3200.67","","","Transfer"
"0x6e35729ff1340257e405f69d8a140cafcdd7c7eccb9c282e2d3e21f13012cf05","20433264","1722510071","2024-08-01 11:01:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000139396574688","0.347178985926417","3200.67","","","Transfer"
"0xb25ea22815082ae6e8feecb6bbeacf03361de1277eed50aac3eacf99e8aaf226","20433406","1722511775","2024-08-01 11:29:35","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000120961336839","0.301264463305948","3200.67","","","Transfer"
"0x481041e484816f991a30548964c21d7030dcf0a990dc458769160a2ed613191f","20433540","1722513407","2024-08-01 11:56:47","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000153384893802","0.382018080471483","3200.67","","","Transfer"
"0x597faa4bc6a3bfa4518ea3163944fda6c875a7b44ff78b9441478f2f4868d17b","20433715","1722515531","2024-08-01 12:32:11","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000198858186492","0.495273170692925","3200.67","","","Transfer"
"0x953117c5c2b79d3634f13fab21c0fe84fbd3ed9b7bab111bd0d177ba2cf49a70","20433886","1722517595","2024-08-01 13:06:35","0x625726c858dbf78c0125436c943bf4b4be9d9033","0x6f54ca6f6ede96662024ffd61bfd18f3f4e34dff","","0","0","0","0.000245060531436","0.610344027354809","3200.67","","","Transfer"
